date,site,visit,track_id,habitat_code,n1_traps,n1_pos,n1_ce,n1_miss,n2_traps,n2_pos,n2_ce,n2_miss,n3_traps,n3_pos,n3_ce,n3_miss,n4_traps,n4_pos,n4_ce,n4_miss,tot_traps,nights,n_catch,n_Mna,n_Rra,n_Mer,n_Pda,n_Pro,house_id,house_w_only_Mna,house_w_only_Rra,house_w_both,house_w_neither,Mna_per_trap,Rra_at_house,Mer_at_house,Pda_at_house,Pro_at_house,Rra_at_site,Mer_at_site,Pda_at_site,Pro_at_site,wet_season
2020-03-05,Badala,4,H2,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H2,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H3,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H3,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H4,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H4,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H5,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H5,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H6,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H6,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H7,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H7,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H8,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H8,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2020-03-05,Badala,4,H9,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Badala-4-H9,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,1,1,1,0,0
2019-09-07,Bafodia,1,H1,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H1,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H2,H,3,2,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,1,0,0,0,0,Bafodia-1-H2,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H3,H,3,1,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H3,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H4,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H4,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H5,H,3,1,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H5,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H6,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H6,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H7,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,0,0,0,1,0,Bafodia-1-H7,FALSE,FALSE,FALSE,TRUE,0,0,0,1,0,0,1,1,1,1
2019-09-07,Bafodia,1,H8,H,3,2,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,3,0,0,0,0,Bafodia-1-H8,TRUE,FALSE,FALSE,FALSE,0.5,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H9,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H9,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H10,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H10,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H11,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H11,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H12,H,3,2,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H12,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H13,H,3,3,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,2,0,0,1,0,Bafodia-1-H13,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,1,0,0,1,1,1,1
2019-09-07,Bafodia,1,H14,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H14,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H15,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H15,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H16,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H16,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H17,H,3,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H17,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H18,H,3,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H18,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H19,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H19,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H20,H,3,1,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H20,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H21,H,3,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H21,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H22,H,3,2,0,0,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,0,0,0,0,Bafodia-1-H22,TRUE,FALSE,FALSE,FALSE,0.6666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H23,H,3,1,0,0,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,0,0,0,0,Bafodia-1-H23,TRUE,FALSE,FALSE,FALSE,0.4,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H24,H,3,1,0,0,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,0,0,0,Bafodia-1-H24,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H25,H,3,0,0,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,0,0,0,0,0,Bafodia-1-H25,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H26,H,3,1,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H26,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H27,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H27,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H28,H,3,0,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,1,0,0,0,0,Bafodia-1-H28,TRUE,FALSE,FALSE,FALSE,0.16666666666666666,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H29,H,3,1,0,0,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H29,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H30,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H30,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H31,H,3,2,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H31,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H32,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H32,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H33,H,3,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,Bafodia-1-H33,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,1,1,1,1
2019-09-07,Bafodia,1,H34,H,3,0,0,0,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,0,0,0,0,Bafodia-1-H34,TRUE,FALSE,FALSE,FALSE,0.3333333333333333,0,0,0,0,0,1,1,1,1
