site,latitude,longitude,date,visit,date_mod,visit_mod,month,wet_season,tot_traps,n_catch,n_Mna,n_Rra,n_Mer,n_Mma,n_Pda,n_Pro,Mna_per_trap,Rra_per_trap,Rra_at_site,Mer_at_site,Mma_at_site,Pda_at_site,Pro_at_site,n_Mna_neg_lassa,n_Mna_pos_lassa,n_Mna_tested_lassa,data_source
Yafraya,10.01194444,-13.67888889,2002-10-31,Oct-02,2002-10-31,1,10,1,407,28,0,24,3,0,0,0,0,0.05896805896805897,1,1,0,0,0,0,0,0,EFC
Badala,9.319729409561736,-11.540764070520316,2019-09-09,1,2019-09-09,1,9,1,455,6,0,2,0,0,0,0,0,0.004395604395604396,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2019-11-09,2,2019-11-09,2,11,1,481,7,0,3,1,0,1,0,0,0.006237006237006237,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2020-01-11,3,2020-01-11,3,1,0,470,3,2,0,1,0,0,0,0.00425531914893617,0,1,1,0,1,0,2,0,2,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2020-03-05,4,2020-03-05,4,3,0,451,1,1,0,0,0,0,0,0.0022172949002217295,0,1,1,0,1,0,1,0,1,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2019-09-07,1,2019-09-07,1,9,1,628,103,85,0,2,0,3,1,0.13535031847133758,0,0,1,0,1,1,81,4,85,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2019-11-05,2,2019-11-05,2,11,1,588,112,94,0,8,0,2,1,0.1598639455782313,0,0,1,0,1,1,93,1,94,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2020-01-08,3,2020-01-08,3,1,0,511,20,18,0,0,0,1,0,0.03522504892367906,0,0,1,0,1,1,18,0,18,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2020-03-02,4,2020-03-02,4,3,0,573,29,29,0,0,0,0,0,0.0506108202443281,0,0,1,0,1,1,29,0,29,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2020-12-02,5,2020-12-02,5,12,0,439,17,15,0,0,0,0,0,0.03416856492027335,0,0,1,0,1,1,15,0,15,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2019-07-12,1,2019-07-12,1,7,1,266,22,5,2,0,0,0,0,0.018796992481203006,0.007518796992481203,1,1,0,0,0,5,0,5,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2019-10-09,2,2019-10-09,2,10,1,266,8,0,2,0,0,0,0,0,0.007518796992481203,1,1,0,0,0,0,0,0,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2019-12-12,3,2019-12-12,3,12,0,283,1,1,0,0,0,0,0,0.0035335689045936395,0,1,1,0,0,0,1,0,1,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2020-02-05,4,2020-02-05,4,2,0,283,11,3,2,1,0,0,0,0.01060070671378092,0.007067137809187279,1,1,0,0,0,2,1,3,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2019-07-10,1,2019-07-10,1,7,1,220,5,4,1,0,0,0,0,0.01818181818181818,0.004545454545454545,1,0,0,0,0,4,0,4,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2019-10-13,2,2019-10-13,2,10,1,220,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2019-12-14,3,2019-12-14,3,12,0,250,7,3,0,0,0,0,0,0.012,0,1,0,0,0,0,3,0,3,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2020-02-07,4,2020-02-07,4,2,0,242,7,4,1,0,0,0,0,0.01652892561983471,0.004132231404958678,1,0,0,0,0,4,0,4,PREEMPT
Gbainkfay,9.298792228749834,-12.256579280914396,2021-01-13,5,2021-01-13,1,1,0,272,16,0,9,2,0,1,1,0,0.03308823529411765,1,1,0,1,1,0,0,0,PREEMPT
Gbenikoro,9.62299969233059,-11.4718678469135,2019-08-30,1,2019-08-30,1,8,1,211,15,6,0,0,0,0,3,0.02843601895734597,0,0,0,0,0,1,6,0,6,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2019-08-17,1,2019-08-17,1,8,1,410,18,0,11,0,0,0,0,0,0.026829268292682926,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2019-10-22,2,2019-10-22,2,10,1,417,19,5,2,0,0,0,1,0.011990407673860911,0.004796163069544364,1,0,0,0,1,5,0,5,PREEMPT
