site,latitude,longitude,visit,date,month,wet_season,tot_traps,n_catch,n_Mna,n_Rra,n_Mer,n_Mma,n_Pda,n_Pro,Mna_per_trap,Rra_per_trap,Rra_at_site,Mer_at_site,Mma_at_site,Pda_at_site,Pro_at_site,n_Mna_neg_lassa,n_Mna_pos_lassa,n_Mna_tested_lassa,data_source
Mokorie,8.207852394264012,-12.058048705581529,5,2020-12-15,12,0,84,9,0,9,0,0,0,0,0,0.10714285714285714,1,1,0,0,1,0,0,0,PREEMPT
Naiawama,7.8694422230075105,-11.04104693769143,5,2020-11-17,11,0,60,7,5,2,0,0,0,0,0.08333333333333333,0.03333333333333333,1,0,0,0,0,5,0,5,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,1,2019-08-14,8,1,18,1,0,1,0,0,0,0,0,0.05555555555555555,1,1,0,0,1,0,0,0,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2,2019-10-11,10,1,24,3,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,3,2019-12-10,12,0,24,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,4,2020-02-03,2,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,PREEMPT
Petema,7.747475128890135,-11.628258155737251,5,2021-01-26,1,0,145,3,0,3,0,0,0,0,0,0.020689655172413793,1,0,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,1,NA,NA,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2,2019-10-24,10,1,30,2,1,0,0,0,0,0,0.03333333333333333,0,0,1,0,0,0,1,0,1,PREEMPT
Talama,8.195003613146277,-11.12266698403304,3,2019-12-20,12,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,4,2020-02-22,2,0,30,5,5,0,0,0,0,0,0.16666666666666666,0,0,1,0,0,0,5,0,5,PREEMPT
Yekeyor,8.576877642939278,-10.878485814424144,5,2021-02-09,2,0,156,6,1,5,0,0,0,0,0.00641025641025641,0.03205128205128205,1,1,0,0,0,1,0,1,PREEMPT
Bamba,10.00055556,-13.885,Oct-02,NA,10,1,169,24,0,20,3,0,0,1,0,0.11834319526627218,1,1,0,0,1,0,0,0,EFC
Bantou,10.054515147679323,-10.578665738396625,Jan-04,NA,1,0,300,61,59,0,0,0,2,0,0.19666666666666666,0,0,1,1,1,1,37,2,39,EFC
Bantou,10.054515147679323,-10.578665738396625,Jan-05,NA,1,0,296,63,62,0,0,0,1,0,0.20945945945945946,0,0,1,1,1,1,57,5,62,EFC
Bantou,10.054515147679323,-10.578665738396625,May-03,NA,5,1,155,10,10,0,0,0,0,0,0.06451612903225806,0,0,1,1,1,1,10,0,10,EFC
Bantou,10.054515147679323,-10.578665738396625,May-04,NA,5,1,300,51,49,0,0,0,2,0,0.16333333333333333,0,0,1,1,1,1,41,6,47,EFC
Bantou,10.054515147679323,-10.578665738396625,Oct-03,NA,10,1,300,35,34,0,0,1,0,0,0.11333333333333333,0,0,1,1,1,1,30,3,33,EFC
Bantou,10.054515147679323,-10.578665738396625,Oct-04,NA,10,1,300,31,29,0,0,0,2,0,0.09666666666666666,0,0,1,1,1,1,22,7,29,EFC
Gagal,11.088055555555556,-12.2975,May-03,NA,5,1,210,9,4,0,0,0,5,0,0.01904761904761905,0,0,1,1,1,1,4,0,4,EFC
Gagal,11.088055555555556,-12.2975,Oct-03,NA,10,1,260,9,7,0,0,0,2,0,0.026923076923076925,0,0,1,1,1,1,7,0,7,EFC
Gania,10.066557407407409,-12.539639814814814,Jan-05,NA,1,0,300,10,0,5,1,1,3,0,0,0.016666666666666666,1,1,1,1,1,0,0,0,EFC
Gania,10.066557407407409,-12.539639814814814,May-04,NA,5,1,300,7,0,5,1,1,0,0,0,0.016666666666666666,1,1,1,1,1,0,0,0,EFC
Gania,10.066557407407409,-12.539639814814814,Oct-04,NA,10,1,300,24,0,18,5,0,0,0,0,0.06,1,1,1,1,1,0,0,0,EFC
Gayebombo,10.132314814814816,-13.590833333333334,May-03,NA,5,1,159,12,0,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,EFC
Gbetaya,9.840833333333334,-11.04,May-03,NA,5,1,275,43,41,0,0,1,0,1,0.14909090909090908,0,0,1,1,0,1,37,4,41,EFC
Kaali,9.930416666666666,-12.705972222222222,Oct-03,NA,10,1,240,18,0,5,12,0,0,0,0,0.020833333333333332,1,1,0,1,0,0,0,0,EFC
Khoneya,10.14861111111111,-12.675833333333332,Jan-04,NA,1,0,321,40,0,3,1,0,0,0,0,0.009345794392523364,1,1,1,0,1,0,0,0,EFC
Sangassou,8.61361111111111,-9.474166666666669,Jan-04,NA,1,0,210,14,14,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,1,14,0,14,EFC
Tanganya,10.000712298701298,-10.97318917748918,Jan-04,NA,1,0,300,38,35,0,0,0,2,0,0.11666666666666667,0,0,1,1,1,1,23,4,27,EFC
Tanganya,10.000712298701298,-10.97318917748918,Jan-05,NA,1,0,295,51,51,0,0,0,0,0,0.17288135593220338,0,0,1,1,1,1,46,3,49,EFC
Tanganya,10.000712298701298,-10.97318917748918,May-04,NA,5,1,312,32,32,0,0,0,0,0,0.10256410256410256,0,0,1,1,1,1,18,8,26,EFC
Tanganya,10.000712298701298,-10.97318917748918,Oct-03,NA,10,1,300,32,30,0,0,1,1,0,0.1,0,0,1,1,1,1,23,7,30,EFC
Tanganya,10.000712298701298,-10.97318917748918,Oct-04,NA,10,1,300,20,20,0,0,0,0,0,0.06666666666666667,0,0,1,1,1,1,18,2,20,EFC
Yafraya,10.01194444,-13.67888889,Oct-02,NA,10,1,102,25,0,24,0,0,0,0,0,0.23529411764705882,1,1,0,0,0,0,0,0,EFC
