1,2,3,4
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,1,NA,NA
0,1,NA,NA
0,1,NA,NA
0,2,NA,NA
0,2,NA,NA
0,1,NA,NA
0,1,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,1,NA,NA
0,0,NA,NA
0,1,NA,NA
0,0,NA,NA
0,1,NA,NA
0,0,NA,NA
0,0,NA,NA
0,1,NA,NA
0,1,NA,NA
0,0,NA,NA
0,2,NA,NA
0,0,NA,NA
0,0,NA,NA
0,0,NA,NA
0,1,NA,NA
0,0,NA,NA
0,1,NA,NA
0,1,NA,NA
0,1,NA,NA
0,0,NA,NA
0,3,NA,NA
0,0,NA,NA
0,2,NA,NA
0,3,NA,NA
0,0,NA,NA
0,1,NA,NA
0,0,NA,NA
0,0,NA,NA
0,1,NA,NA
0,0,NA,NA
0,0,NA,NA
0,2,NA,NA
0,0,NA,NA
0,3,NA,NA
0,0,NA,NA
0,2,NA,NA
0,2,NA,NA
0,0,NA,NA
